TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score	pval	isSig	Component
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	14	12	3159	1841	64	0.0187	16255	0.0181	0.704	0.126	0.240716386804441	0	140
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.19	0.424	6	20	1748	3252	15	0.00547	3716	0.00517	0.655	0.068	0.256233877029612	0	140
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	5	21	1288	3712	9	0.00427	2241	0.00405	0.512	0.177	0.304325504783304	0	140
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	18	8	3368	1632	90	0.0295	23318	0.0292	0.327	0.669	0.371833942606767	0	140
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	5	21	1114	3886	7	0.00281	1764	0.0027	0.29	0.33	0.385908118801123	0	140
Pax5	MA0014.1	Helix-Turn-Helix	Homeo	vertebrates	12.432	0.575	1	25	230	4770	1	0.00073	256	0.000712	-0.006	0.347	0.497606360679436	0	140
CTCF	MA0139.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	3	23	646	4354	3	0.00208	789	0.00209	-0.089	0.399	0.464540955060559	0	140
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	4	22	1140	3860	7	0.00383	1956	0.00408	-0.701	0.133	0.241651507605102	0	140
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	6	20	1202	3798	7	0.00409	1959	0.00436	-0.737	0.477	0.230561174682876	0	140
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	2	24	478	4522	2	0.00131	600	0.0015	-0.887	0.321	0.187539450241603	0	140
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	2	24	607	4393	3	0.00153	909	0.00177	-1.011	0.173	0.156008214896008	0	140
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	0	26	9	4991	0	0	9	2.5e-05	-1.432	0	0.0760719106586125	0	140
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	0	26	24	4976	0	0	24	5.68e-05	-1.648	0	0.0496763355918642	0	140
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	0	26	2	4998	0	0	2	5.56e-06	-1.671	0	0.047360838905483	0	140
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	1	25	357	4643	1	0.000401	423	0.000647	-1.721	0.157	0.0426254119454488	0	140
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	4	22	1193	3807	7	0.00383	2187	0.00456	-1.847	0.107	0.0323735701444877	0	140
SPI1	MA0080.2	Winged Helix-Turn-Helix	Ets	vertebrates	9.64	0.435	14	12	3206	1794	66	0.0169	18895	0.0184	-1.93	0.105	0.026803418877055	0	140
Pax4	MA0068.1	Helix-Turn-Helix	Homeo	vertebrates	11.004	0.441	0	26	23	4977	0	0	23	9.6e-05	-1.931	0	0.0267415262083845	0	140
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	0	26	40	4960	0	0	42	0.000105	-1.993	0	0.0231307235413461	0	140
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	1	25	369	4631	1	0.000511	444	0.000865	-2.097	0.146	0.0179967876711073	0	140
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	10	16	2661	2339	37	0.0135	10829	0.0151	-2.157	0.045	0.0155028322219566	0	140
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.28	1	25	359	4641	1	0.000511	457	0.00089	-2.208	0.156	0.0136221365822835	0	140
TAL1::TCF3	MA0091.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.07	0.453	2	24	1469	3531	9	0.00394	2929	0.00489	-2.299	0.001	0.0107524696557709	0	140
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	0	26	49	4951	0	0	54	0.000158	-2.32	0	0.0101704386687197	0	140
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	0	26	61	4939	0	0	62	0.000173	-2.405	0	0.00808623289210195	0	140
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	0	26	86	4914	0	0	90	0.000188	-2.49	0	0.00638715476494317	0	140
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	16	10	3313	1687	75	0.0192	22466	0.0219	-3.108	0.267	0.000941790340412746	0	140
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	0	26	102	4898	0	0	106	0.000324	-3.15	0	0.000816352312828562	0	140
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	0	26	196	4804	0	0	208	0.000405	-3.483	0	0.000247914182316103	1	140
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	4	22	1242	3758	5	0.00128	2434	0.00237	-3.786	0.087	7.65458368698632e-05	1	140
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	0	26	224	4776	0	0	261	0.000617	-4.237	0	1.13263068060356e-05	1	140
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	9	17	2303	2697	24	0.00788	8499	0.0106	-4.487	0.089	3.61165373246195e-06	1	140
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	9	17	2799	2201	40	0.0131	13524	0.0169	-4.902	0.009	4.74329182253636e-07	1	140
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	2	24	794	4206	2	0.000875	1376	0.0023	-4.98	0.068	3.17921366185281e-07	1	140
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.47	0.391	11	15	2777	2223	39	0.0142	13155	0.0183	-5.056	0.063	2.14070665689627e-07	1	140
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	1	25	704	4296	1	0.000511	998	0.00194	-5.456	0.02	2.43489963567668e-08	1	140
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	3	23	1209	3791	4	0.00175	2260	0.00377	-5.51	0.032	1.79416849358471e-08	1	140
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	3	23	1178	3822	5	0.00237	2622	0.00474	-5.758	0.038	4.25581776760113e-09	1	140
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	1	25	1294	3706	4	0.00219	2195	0.00458	-5.91	0	1.710538655567e-09	1	140
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.31	1	25	823	4177	1	0.000438	1367	0.00228	-6.463	0.009	5.13236462536199e-11	1	140
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	8	18	2737	2263	36	0.0105	13761	0.0153	-6.51	0.004	3.75754025334884e-11	1	140
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	12	14	3061	1939	53	0.0135	19610	0.0191	-6.753	0.04	7.24094705893091e-12	1	140
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	2	24	1111	3889	2	0.000875	2025	0.00338	-7.198	0.012	3.05510723284794e-13	1	140
Gata1	MA0035.2	Zinc-coordinating	GATA	vertebrates	10.878	0.373	10	16	2940	2060	42	0.0169	15419	0.0236	-7.376	0.011	8.15580070060051e-14	1	140
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	2	24	1445	3555	4	0.00146	3259	0.00453	-7.623	0.002	1.23923440159076e-14	1	140
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	3	23	1367	3633	4	0.0016	3218	0.00492	-7.895	0.014	1.45157618977495e-15	1	140
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.26	13	13	2767	2233	39	0.0114	15866	0.0177	-7.914	0.259	1.24624149472343e-15	1	140
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	4	22	1959	3041	7	0.00255	4568	0.00635	-7.959	0.002	8.67176199071261e-16	1	140
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	8	18	2666	2334	28	0.00817	12669	0.0141	-8.352	0.006	3.35583310778998e-17	1	140
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	0	26	809	4191	0	0	1294	0.00252	-8.383	0	2.57977379926924e-17	1	140
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	8	18	2391	2609	20	0.00875	8975	0.015	-8.514	0.025	8.40170082962244e-18	1	140
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	10	16	2607	2393	24	0.00788	11267	0.0141	-8.77	0.057	8.93331430237564e-19	1	140
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	13	13	2562	2438	28	0.00715	13975	0.0136	-9.258	0.467	1.04148576062269e-20	1	140
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	0	26	1113	3887	0	0	1951	0.00326	-9.518	0	8.82719704573201e-22	1	140
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	9	17	2293	2707	21	0.00919	9916	0.0166	-9.577	0.092	4.9952331074747e-22	1	140
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	5	21	2067	2933	13	0.00711	6745	0.0141	-9.811	0.005	5.04815003090467e-23	1	140
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.07	0.202	2	24	1634	3366	5	0.00201	4535	0.00694	-9.877	0	2.61887533593826e-23	1	140
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.04	0.194	18	8	3157	1843	63	0.0138	28795	0.024	-11.098	1.09	6.41411903268142e-29	1	140
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	9	17	2648	2352	25	0.00638	14764	0.0144	-11.144	0.019	3.82999566265698e-29	1	140
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	17	9	3563	1437	110	0.0321	41574	0.0463	-11.183	0.208	2.46957872521207e-29	1	140
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	13	13	3071	1929	43	0.00784	25211	0.0175	-12.251	0.087	8.29685354015175e-35	1	140
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	6	20	2723	2277	22	0.00883	12786	0.0196	-12.86	0	3.77883355309842e-38	1	140
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	6	20	2371	2629	12	0.00525	9971	0.0166	-14.768	0.003	1.17800528477094e-49	1	140
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	13	13	3235	1765	60	0.0131	34078	0.0284	-15.27	0.042	6.05865392397573e-53	1	140
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	11	15	2994	2006	34	0.0112	20627	0.0258	-15.327	0.023	2.52383222468016e-53	1	140
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	16	10	3440	1560	79	0.0202	40221	0.0392	-16.229	0.17	1.57271005453737e-59	1	140
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	15	57	805	4195	35	0.00367	1326	0.00221	10.485	1.734	5.06228309083174e-26	1	152
CTCF	MA0139.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	17	55	675	4325	21	0.00348	824	0.00217	9.496	4.214	1.09053885615843e-21	1	152
HIF1A::ARNT	MA0259.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.74	0.657	42	30	2195	2805	160	0.0112	7765	0.00862	9.335	4.591	5.04956254808867e-21	1	152
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	44	28	2910	2090	370	0.0291	19877	0.0248	9.227	1.035	1.39158807215149e-20	1	152
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	11	61	662	4338	25	0.00327	1006	0.00209	8.702	1.032	1.63042793227331e-18	1	152
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	41	31	2548	2452	212	0.0167	10991	0.0137	8.51	1.677	8.69666772689607e-18	1	152
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.04	0.194	45	27	3071	1929	504	0.0264	27755	0.0231	7.402	0.739	6.70742506290575e-14	1	152
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.28	11	61	374	4626	13	0.00159	475	0.000923	7.375	3.976	8.21725260758434e-14	1	152
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	43	29	3226	1774	586	0.0307	32726	0.0272	7.156	0.182	4.15325714765422e-13	1	152
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.26	36	36	2688	2312	280	0.0196	15187	0.0169	7.074	0.255	7.52651426306808e-13	1	152
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.19	0.424	30	42	1716	3284	75	0.00655	3692	0.00512	6.73	2.118	8.48315436250203e-12	1	152
Tcfcp2l1	MA0145.1	Other	CP2	vertebrates	11.65	0.609	38	34	2136	2864	120	0.0147	6443	0.0125	6.529	2.877	3.31051256196471e-11	1	152
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	23	49	1150	3850	50	0.00567	2485	0.00448	6.015	2.929	8.99433500803204e-10	1	152
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	35	37	2267	2733	154	0.0121	8276	0.0103	5.887	1.105	1.96634357037104e-09	1	152
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	46	26	3394	1606	673	0.0411	38920	0.0378	5.885	0.22	1.99026996175682e-09	1	152
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	41	31	2567	2433	254	0.0155	13939	0.0135	5.791	1.587	3.4984288553365e-09	1	152
E2F1	MA0024.1	Winged Helix-Turn-Helix	E2F	vertebrates	13.838	0.625	30	42	1672	3328	73	0.0051	3629	0.00403	5.691	2.394	6.31487539987784e-09	1	152
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	5	67	163	4837	5	0.000786	173	0.000432	5.687	2.418	6.46452283194663e-09	1	152
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	9	63	401	4599	12	0.00147	487	0.000946	5.682	2.086	6.65643306167504e-09	1	152
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	53	19	3400	1600	705	0.0369	40712	0.0339	5.659	1.669	7.61287776964361e-09	1	152
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	32	40	2263	2737	172	0.018	9576	0.0159	5.588	0.511	1.14849822196815e-08	1	152
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	40	32	2991	2009	434	0.0189	24246	0.0168	5.57	0.218	1.27369667712999e-08	1	152
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	30	42	2045	2955	118	0.0155	6531	0.0136	5.416	0.707	3.04735503713535e-08	1	152
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	21	51	1098	3902	36	0.00346	1735	0.00265	5.297	2.345	5.88603476356059e-08	1	152
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	22	50	1391	3609	58	0.00506	2971	0.00412	4.945	1.063	3.80719322256619e-07	1	152
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	20	52	1108	3892	38	0.00398	1920	0.0032	4.672	1.836	1.49140479887647e-06	1	152
GABPA	MA0062.2	Winged Helix-Turn-Helix	Ets	vertebrates	13.335	0.647	37	35	1911	3089	79	0.00759	4270	0.00652	4.475	4.112	3.82056563564825e-06	1	152
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	44	28	2791	2209	229	0.018	13151	0.0164	4.163	1.519	1.57046683831681e-05	1	152
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	9	63	561	4439	16	0.0021	770	0.0016	4.129	0.866	1.82172201773263e-05	1	152
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	30	42	1407	3593	57	0.00299	2866	0.00239	4.127	4.613	1.83763196910174e-05	1	152
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	31	41	1544	3456	65	0.00681	3560	0.00593	3.866	3.895	5.53174686948564e-05	1	152
USF1	MA0093.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.29	0.643	41	31	1845	3155	82	0.00501	4401	0.00427	3.795	7.663	7.38217281096512e-05	1	152
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	43	29	2742	2258	236	0.0165	13661	0.0152	3.633	1.425	0.000140072509144845	1	152
Tal1::Gata1	MA0140.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.297	0.451	22	50	1261	3739	41	0.00644	2258	0.00564	3.607	1.696	0.000154878830218446	1	152
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	48	24	2791	2209	309	0.027	18318	0.0254	3.336	3.184	0.000424965818871433	1	152
RUNX1	MA0002.2	Ig-fold	Runt	vertebrates	10.401	0.502	39	33	2757	2243	201	0.0193	11799	0.018	3.275	0.489	0.000528309868122621	0	152
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	46	26	2799	2201	207	0.0145	12020	0.0133	3.269	2.207	0.000539641507679454	0	152
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.47	0.391	41	31	2735	2265	221	0.0193	12978	0.018	3.256	0.92	0.000564968757544796	0	152
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	40	32	2498	2502	273	0.0238	16172	0.0224	3.169	1.585	0.000764821975705276	0	152
ZEB1	MA0103.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.305	0.557	56	16	3530	1470	581	0.0304	34935	0.0291	2.701	2.175	0.00345656692556866	0	152
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.31	15	57	822	4178	25	0.00262	1344	0.00224	2.697	1.619	0.00349836351721413	0	152
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	20	52	1306	3694	39	0.00511	2230	0.00464	2.295	0.868	0.0108665621483327	0	152
EBF1	MA0154.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.564	0.648	37	35	2289	2711	135	0.0118	7979	0.0111	2.292	1.593	0.0109528215890055	0	152
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	7	65	304	4696	7	0.00122	364	0.00101	2.212	1.895	0.0134833324670494	0	152
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	37	35	1644	3356	65	0.00567	3768	0.00523	2.071	6.94	0.0191793980280377	0	152
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	10	62	617	4383	16	0.00196	878	0.00171	2.013	0.921	0.0220573146771035	0	152
MZF1_5-13	MA0057.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.4	0.588	43	29	2744	2256	261	0.0228	15795	0.0219	1.993	1.417	0.0231307235413461	0	152
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	35	37	2318	2682	160	0.0168	9632	0.016	1.934	0.926	0.0265565639242218	0	152
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	17	55	1347	3653	53	0.00509	3084	0.00471	1.867	0.254	0.0309507939257867	0	152
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	51	21	3269	1731	377	0.023	22885	0.0222	1.846	1.604	0.0324461027158523	0	152
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	40	32	2290	2710	141	0.0148	8482	0.0141	1.842	2.761	0.0327375749376133	0	152
REL	MA0101.1	Ig-fold	Rel	vertebrates	10.515	0.559	35	37	2100	2900	100	0.00873	5947	0.00825	1.77	1.853	0.0383635703628712	0	152
Arnt::Ahr	MA0006.1	Zipper-Type	Helix-Loop-Helix	vertebrates	9.532	0.715	46	26	2751	2249	222	0.0116	13325	0.0111	1.71	2.494	0.0436329365240319	0	152
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.07	0.202	24	48	1576	3424	72	0.00691	4287	0.00654	1.536	0.88	0.0622691901730509	0	152
Hand1::Tcfe2a	MA0092.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.144	0.507	44	28	2694	2306	179	0.0156	10865	0.0151	1.514	2.004	0.0650129197451288	0	152
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	22	50	1301	3699	42	0.00403	2470	0.00377	1.428	1.477	0.0766459292606334	0	152
Esrrb	MA0141.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.806	0.524	31	41	2034	2966	86	0.00901	5188	0.00864	1.338	0.955	0.0904482183947148	0	152
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	36	36	1658	3342	65	0.00567	3907	0.00542	1.145	6.007	0.126104578687884	0	152
Gata1	MA0035.2	Zinc-coordinating	GATA	vertebrates	10.878	0.373	41	31	2861	2139	244	0.0234	15039	0.023	1.063	0.565	0.14389097566864	0	152
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	30	42	1594	3406	54	0.00471	3247	0.00451	1.031	2.944	0.151270409899633	0	152
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	19	53	1092	3908	29	0.00304	1725	0.00287	1.019	1.543	0.154101483263627	0	152
Spz1	MA0111.1	Other	Other	vertebrates	11.907	0.538	22	50	1333	3667	41	0.00394	2461	0.00376	0.975	1.318	0.16478012998031	0	152
Zfx	MA0146.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.077	0.749	36	36	2024	2976	110	0.0134	6756	0.0131	0.935	2.716	0.174894149713222	0	152
Ar	MA0007.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.703	0.498	2	70	108	4892	2	0.000384	113	0.000345	0.634	0.764	0.263040411056559	0	152
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	22	50	1271	3729	40	0.00244	2437	0.00237	0.507	1.639	0.306077409285185	0	152
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	46	26	3122	1878	292	0.0229	18191	0.0227	0.497	0.793	0.309594525663412	0	152
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	5	67	365	4635	7	0.000672	414	0.000632	0.483	0.491	0.31454786811065	0	152
ZNF354C	MA0130.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.958	0.615	56	16	3561	1439	673	0.0352	42027	0.035	0.47	1.989	0.319177508782556	0	152
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.53	4	68	267	4733	5	0.000873	301	0.000835	0.389	0.613	0.348638073192762	0	152
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	15	57	700	4300	15	0.00144	934	0.00143	0.093	2.604	0.462951780611812	0	152
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	49	23	3086	1914	261	0.0182	16406	0.0182	0.027	1.805	0.489229867016215	0	152
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	17	55	1155	3845	33	0.00432	2077	0.00432	-0.033	0.682	0.486837293821273	0	152
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.61	8	64	433	4567	8	0.000698	515	0.000715	-0.261	1.249	0.397046253627809	0	152
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	4	68	243	4757	4	0.000489	261	0.000507	-0.339	0.759	0.367304865081606	0	152
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	29	43	2023	2977	75	0.00655	4800	0.00666	-0.49	0.584	0.312066949417391	0	152
Myf	MA0055.1	Zipper-Type	Helix-Loop-Helix	vertebrates	15.914	0.609	34	38	2065	2935	88	0.00922	5619	0.00936	-0.501	1.683	0.308185561459542	0	152
FOXA1	MA0148.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.533	0.332	45	27	2675	2325	194	0.0186	12371	0.0189	-0.643	2.527	0.260112049941736	0	152
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	7	65	469	4531	9	0.00141	594	0.00148	-0.649	0.654	0.258169188100441	0	152
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.51	49	23	3443	1557	522	0.0273	33214	0.0277	-0.653	0.488	0.256878139258511	0	152
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	30	42	1904	3096	62	0.00433	4030	0.00447	-0.752	1.183	0.226025529394003	0	152
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	51	21	3347	1653	369	0.029	23551	0.0294	-0.852	1.247	0.197107046027233	0	152
NF-kappaB	MA0061.1	Ig-fold	Rel	vertebrates	13.345	0.621	29	43	1738	3262	60	0.00524	3916	0.00543	-0.923	1.627	0.178003602614765	0	152
